,PTS/100,isHome,possession_diff,time,startsBall,offence1,offence2,offence3,offence4,offence5,defence1,defence2,defence3,defence4,defence5
0,90.9090909090909,1.0,0.0,335.0,0.0,201587.0,101107.0,203469.0,201584.0,202689.0,200782.0,203458.0,2199.0,1626164.0,101179.0
1,50.0,0.0,0.0,335.0,1.0,200782.0,203458.0,2199.0,1626164.0,101179.0,201587.0,101107.0,203469.0,201584.0,202689.0
2,200.0,1.0,2.0,11.0,0.0,201587.0,101107.0,203469.0,201584.0,202689.0,200782.0,203458.0,2199.0,1626164.0,203515.0
3,0.0,0.0,-2.0,11.0,1.0,200782.0,203458.0,2199.0,1626164.0,203515.0,201587.0,101107.0,203469.0,201584.0,202689.0
4,175.0,1.0,3.0,49.0,1.0,201587.0,101107.0,201584.0,202689.0,2744.0,200782.0,203458.0,1626164.0,203515.0,101179.0
5,0.0,0.0,-2.0,49.0,0.0,200782.0,203458.0,1626164.0,203515.0,101179.0,201587.0,101107.0,201584.0,202689.0,2744.0
6,133.33333333333331,1.0,5.0,42.0,1.0,201587.0,101107.0,202689.0,2744.0,202391.0,200782.0,203458.0,101179.0,203141.0,203462.0
7,0.0,0.0,-4.0,42.0,0.0,200782.0,203458.0,101179.0,203141.0,203462.0,201587.0,101107.0,202689.0,2744.0,202391.0
8,100.0,1.0,5.0,12.0,0.0,101107.0,202689.0,2744.0,202391.0,203087.0,200782.0,203458.0,203141.0,203462.0,203515.0
9,150.0,0.0,5.0,12.0,1.0,200782.0,203458.0,203141.0,203462.0,203515.0,101107.0,202689.0,2744.0,202391.0,203087.0
10,0.0,1.0,5.0,40.0,0.0,101107.0,202689.0,2744.0,202391.0,203087.0,203458.0,203141.0,203462.0,203515.0,1626164.0
11,50.0,0.0,-5.0,40.0,1.0,203458.0,203141.0,203462.0,203515.0,1626164.0,101107.0,202689.0,2744.0,202391.0,203087.0
12,115.38461538461537,1.0,5.0,298.0,1.0,202689.0,2744.0,202391.0,203087.0,1626163.0,203141.0,203462.0,203515.0,1626164.0,202720.0
13,100.0,0.0,-5.0,298.0,0.0,203141.0,203462.0,203515.0,1626164.0,202720.0,202689.0,2744.0,202391.0,203087.0,1626163.0
