,PTS/100,isHome,possession_diff,time,startsBall,offence1,offence2,offence3,offence4,offence5,defence1,defence2,defence3,defence4,defence5
0,100.0,1.0,0.0,186.0,0.0,204001.0,202498.0,201577.0,201167.0,101181.0,2772.0,203991.0,2730.0,201976.0,201935.0
1,100.0,0.0,0.0,186.0,1.0,2772.0,203991.0,2730.0,201976.0,201935.0,204001.0,202498.0,201577.0,201167.0,101181.0
2,200.0,1.0,0.0,34.0,0.0,204001.0,202498.0,201167.0,101181.0,202338.0,2772.0,203991.0,2730.0,201976.0,201935.0
3,100.0,0.0,0.0,34.0,1.0,2772.0,203991.0,2730.0,201976.0,201935.0,204001.0,202498.0,201167.0,101181.0,202338.0
4,33.33333333333333,1.0,0.0,139.0,1.0,204001.0,202498.0,201167.0,101181.0,202338.0,2772.0,203991.0,201976.0,201935.0,203093.0
5,33.33333333333333,0.0,1.0,139.0,0.0,2772.0,203991.0,201976.0,201935.0,203093.0,204001.0,202498.0,201167.0,101181.0,202338.0
6,175.0,1.0,0.0,115.0,0.0,204001.0,202498.0,201167.0,101181.0,202338.0,2772.0,203991.0,201935.0,203093.0,1891.0
7,100.0,0.0,1.0,115.0,1.0,2772.0,203991.0,201935.0,203093.0,1891.0,204001.0,202498.0,201167.0,101181.0,202338.0
8,200.0,1.0,1.0,57.0,1.0,202498.0,201167.0,202338.0,202682.0,204038.0,203991.0,201935.0,203093.0,1891.0,203909.0
9,200.0,0.0,0.0,57.0,0.0,203991.0,201935.0,203093.0,1891.0,203909.0,202498.0,201167.0,202338.0,202682.0,204038.0
10,0.0,1.0,1.0,0.0,1.0,201167.0,202338.0,202682.0,204038.0,203921.0,203093.0,1891.0,203909.0,2730.0,201977.0
11,,0.0,0.0,0.0,0.0,203093.0,1891.0,203909.0,2730.0,201977.0,201167.0,202338.0,202682.0,204038.0,203921.0
12,100.0,1.0,1.0,30.0,0.0,201167.0,202338.0,202682.0,204038.0,203921.0,203093.0,1891.0,203909.0,2730.0,201977.0
13,0.0,0.0,-1.0,30.0,1.0,203093.0,1891.0,203909.0,2730.0,201977.0,201167.0,202338.0,202682.0,204038.0,203921.0
