,PTS/100,isHome,possession_diff,time,startsBall,offence1,offence2,offence3,offence4,offence5,defence1,defence2,defence3,defence4,defence5
0,100.0,1.0,0.0,245.0,0.0,202718.0,203210.0,201188.0,2754.0,201144.0,203933.0,1627737.0,2199.0,1626164.0,202339.0
1,60.0,0.0,0.0,245.0,1.0,203933.0,1627737.0,2199.0,1626164.0,202339.0,202718.0,203210.0,201188.0,2754.0,201144.0
2,175.0,1.0,1.0,92.0,0.0,202718.0,203210.0,201188.0,2754.0,201144.0,203933.0,1627737.0,1626164.0,202339.0,203458.0
3,40.0,0.0,-1.0,92.0,1.0,203933.0,1627737.0,1626164.0,202339.0,203458.0,202718.0,203210.0,201188.0,2754.0,201144.0
4,0.0,1.0,3.0,20.0,0.0,202718.0,203210.0,201188.0,2754.0,201144.0,1627737.0,1626164.0,202339.0,203458.0,200782.0
5,100.0,0.0,-2.0,20.0,1.0,1627737.0,1626164.0,202339.0,203458.0,200782.0,202718.0,203210.0,201188.0,2754.0,201144.0
6,75.0,1.0,2.0,100.0,1.0,203210.0,201188.0,2754.0,201962.0,203516.0,1627737.0,1626164.0,202339.0,203458.0,200782.0
7,100.0,0.0,-2.0,100.0,0.0,1627737.0,1626164.0,202339.0,203458.0,200782.0,203210.0,201188.0,2754.0,201962.0,203516.0
8,50.0,1.0,3.0,96.0,0.0,201188.0,201962.0,203516.0,203584.0,201148.0,1627737.0,1626164.0,203458.0,200782.0,202688.0
9,0.0,0.0,-2.0,96.0,1.0,1627737.0,1626164.0,203458.0,200782.0,202688.0,201188.0,201962.0,203516.0,203584.0,201148.0
10,81.81818181818183,1.0,3.0,294.0,0.0,201962.0,203516.0,203584.0,201148.0,202718.0,1626164.0,203458.0,200782.0,202688.0,201162.0
11,81.81818181818183,0.0,-3.0,294.0,1.0,1626164.0,203458.0,200782.0,202688.0,201162.0,201962.0,203516.0,203584.0,201148.0,202718.0
12,100.0,1.0,3.0,205.0,0.0,201144.0,203584.0,201188.0,203210.0,2754.0,203458.0,200782.0,202688.0,201162.0,2571.0
13,100.0,0.0,-2.0,205.0,1.0,203458.0,200782.0,202688.0,201162.0,2571.0,201144.0,203584.0,201188.0,203210.0,2754.0
14,133.33333333333331,1.0,3.0,73.0,1.0,203584.0,201188.0,203210.0,2754.0,201962.0,203458.0,200782.0,202688.0,201162.0,2571.0
15,0.0,0.0,-2.0,73.0,0.0,203458.0,200782.0,202688.0,201162.0,2571.0,203584.0,201188.0,203210.0,2754.0,201962.0
16,100.0,1.0,4.0,4.0,0.0,203584.0,201188.0,203210.0,2754.0,201962.0,203458.0,200782.0,202339.0,203933.0,1626164.0
17,0.0,0.0,-4.0,4.0,1.0,203458.0,200782.0,202339.0,203933.0,1626164.0,203584.0,201188.0,203210.0,2754.0,201962.0
18,60.0,1.0,5.0,126.0,0.0,203584.0,201188.0,203210.0,2754.0,201144.0,202339.0,203933.0,1626164.0,2199.0,1627737.0
19,100.0,0.0,-4.0,126.0,1.0,202339.0,203933.0,1626164.0,2199.0,1627737.0,203584.0,201188.0,203210.0,2754.0,201144.0
20,133.33333333333331,1.0,4.0,369.0,0.0,201188.0,2754.0,201148.0,201962.0,203516.0,202339.0,203933.0,1626164.0,2199.0,1627737.0
21,92.3076923076923,0.0,-3.0,369.0,1.0,202339.0,203933.0,1626164.0,2199.0,1627737.0,201188.0,2754.0,201148.0,201962.0,203516.0
22,0.0,1.0,5.0,18.0,1.0,202718.0,201188.0,201144.0,201148.0,203516.0,203933.0,1627737.0,2199.0,1626164.0,202339.0
23,0.0,0.0,-4.0,18.0,0.0,203933.0,1627737.0,2199.0,1626164.0,202339.0,202718.0,201188.0,201144.0,201148.0,203516.0
24,100.0,1.0,4.0,7.0,1.0,202718.0,201188.0,201144.0,201148.0,203516.0,203933.0,1627737.0,2199.0,1626164.0,202339.0
25,50.0,0.0,-4.0,7.0,0.0,203933.0,1627737.0,2199.0,1626164.0,202339.0,202718.0,201188.0,201144.0,201148.0,203516.0
26,0.0,1.0,5.0,7.0,1.0,201188.0,201144.0,201148.0,203516.0,203584.0,203933.0,1627737.0,2199.0,1626164.0,202339.0
27,100.0,0.0,-4.0,7.0,0.0,203933.0,1627737.0,2199.0,1626164.0,202339.0,201188.0,201144.0,201148.0,203516.0,203584.0
28,300.0,1.0,4.0,39.0,0.0,201188.0,201148.0,203516.0,203584.0,201962.0,1627737.0,2199.0,1626164.0,202339.0,200782.0
29,0.0,0.0,-4.0,39.0,1.0,1627737.0,2199.0,1626164.0,202339.0,200782.0,201188.0,201148.0,203516.0,203584.0,201962.0
30,50.0,1.0,5.0,32.0,1.0,201188.0,201148.0,203516.0,203584.0,201962.0,1627737.0,200782.0,202688.0,2571.0,203458.0
31,100.0,0.0,-5.0,32.0,0.0,1627737.0,200782.0,202688.0,2571.0,203458.0,201188.0,201148.0,203516.0,203584.0,201962.0
32,0.0,1.0,5.0,5.0,0.0,201148.0,203516.0,203584.0,201962.0,203210.0,1627737.0,200782.0,202688.0,2571.0,203458.0
33,200.0,0.0,-5.0,5.0,1.0,1627737.0,200782.0,202688.0,2571.0,203458.0,201148.0,203516.0,203584.0,201962.0,203210.0
34,0.0,1.0,4.0,23.0,1.0,201148.0,203516.0,203584.0,201962.0,203210.0,200782.0,202688.0,2571.0,203458.0,201162.0
35,100.0,0.0,-3.0,23.0,0.0,200782.0,202688.0,2571.0,203458.0,201162.0,201148.0,203516.0,203584.0,201962.0,203210.0
