,PTS/100,isHome,possession_diff,time,startsBall,offence1,offence2,offence3,offence4,offence5,defence1,defence2,defence3,defence4,defence5
0,75.0,1.0,0.0,443.0,0.0,202711.0,201152.0,1626167.0,203506.0,201954.0,1627756.0,1628374.0,201577.0,203200.0,1627739.0
1,112.5,0.0,0.0,443.0,1.0,1627756.0,1628374.0,201577.0,203200.0,1627739.0,202711.0,201152.0,1626167.0,203506.0,201954.0
2,100.0,1.0,-2.0,7.0,1.0,201152.0,1626167.0,203506.0,201954.0,202709.0,1627756.0,1628374.0,201577.0,203200.0,1627739.0
3,0.0,0.0,2.0,7.0,0.0,1627756.0,1628374.0,201577.0,203200.0,1627739.0,201152.0,1626167.0,203506.0,201954.0,202709.0
4,0.0,1.0,-1.0,13.0,0.0,201152.0,1626167.0,203506.0,201954.0,202709.0,1628374.0,201577.0,203200.0,1627739.0,1628021.0
5,0.0,0.0,2.0,13.0,1.0,1628374.0,201577.0,203200.0,1627739.0,1628021.0,201152.0,1626167.0,203506.0,201954.0,202709.0
6,,1.0,-1.0,0.0,0.0,1626167.0,203506.0,201954.0,202709.0,1627734.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0
7,0.0,0.0,2.0,0.0,1.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0,1626167.0,203506.0,201954.0,202709.0,1627734.0
8,0.0,1.0,-1.0,0.0,0.0,1626167.0,203506.0,201954.0,202709.0,1627734.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0
9,100.0,0.0,2.0,0.0,1.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0,1626167.0,203506.0,201954.0,202709.0,1627734.0
10,75.0,1.0,-2.0,77.0,1.0,1626167.0,203506.0,202709.0,1627734.0,202362.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0
11,100.0,0.0,2.0,77.0,0.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0,1626167.0,203506.0,202709.0,1627734.0,202362.0
12,0.0,1.0,-1.0,13.0,0.0,203506.0,202709.0,1627734.0,202362.0,1628388.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0
13,150.0,0.0,2.0,13.0,1.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0,203506.0,202709.0,1627734.0,202362.0,1628388.0
14,0.0,1.0,-3.0,14.0,1.0,203506.0,202709.0,1627734.0,202362.0,1628388.0,201577.0,203200.0,1628021.0,1626171.0,1626170.0
15,0.0,0.0,3.0,14.0,0.0,201577.0,203200.0,1628021.0,1626171.0,1626170.0,203506.0,202709.0,1627734.0,202362.0,1628388.0
16,88.88888888888889,1.0,-3.0,218.0,1.0,203506.0,202709.0,1627734.0,202362.0,1628388.0,203200.0,1628021.0,1626171.0,1626170.0,1627835.0
17,112.5,0.0,4.0,218.0,0.0,203200.0,1628021.0,1626171.0,1626170.0,1627835.0,203506.0,202709.0,1627734.0,202362.0,1628388.0
18,0.0,1.0,-3.0,94.0,1.0,202711.0,202709.0,1627734.0,202362.0,201152.0,1627756.0,1628021.0,1626171.0,1626170.0,1627835.0
19,200.0,0.0,4.0,94.0,0.0,1627756.0,1628021.0,1626171.0,1626170.0,1627835.0,202711.0,202709.0,1627734.0,202362.0,201152.0
20,75.0,1.0,-5.0,70.0,1.0,202711.0,1627734.0,201152.0,201954.0,203506.0,1627756.0,1628021.0,1626171.0,1628374.0,1627739.0
21,25.0,0.0,5.0,70.0,0.0,1627756.0,1628021.0,1626171.0,1628374.0,1627739.0,202711.0,1627734.0,201152.0,201954.0,203506.0
22,0.0,1.0,-4.0,13.0,1.0,202711.0,201152.0,203506.0,1626167.0,202709.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0
23,0.0,0.0,5.0,13.0,0.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0,202711.0,201152.0,203506.0,1626167.0,202709.0
24,300.0,1.0,-4.0,52.0,0.0,202711.0,201152.0,203506.0,1626167.0,202709.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0
25,0.0,0.0,5.0,52.0,1.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0,202711.0,201152.0,203506.0,1626167.0,202709.0
26,57.14285714285714,1.0,-3.0,213.0,0.0,202711.0,201152.0,203506.0,1626167.0,202709.0,1628374.0,1627739.0,203200.0,201577.0,1627835.0
27,112.5,0.0,4.0,213.0,1.0,1628374.0,1627739.0,203200.0,201577.0,1627835.0,202711.0,201152.0,203506.0,1626167.0,202709.0
28,0.0,1.0,-5.0,3.0,1.0,201152.0,1626167.0,202709.0,202362.0,1626202.0,1628374.0,1627739.0,203200.0,201577.0,1627835.0
29,0.0,0.0,5.0,3.0,0.0,1628374.0,1627739.0,203200.0,201577.0,1627835.0,201152.0,1626167.0,202709.0,202362.0,1626202.0
30,200.0,1.0,-5.0,15.0,0.0,201152.0,1626167.0,202709.0,202362.0,1626202.0,1628374.0,203200.0,201577.0,1627835.0,1626170.0
31,0.0,0.0,5.0,15.0,1.0,1628374.0,203200.0,201577.0,1627835.0,1626170.0,201152.0,1626167.0,202709.0,202362.0,1626202.0
32,0.0,1.0,-5.0,2.0,0.0,201152.0,1626167.0,202709.0,202362.0,1626202.0,1628374.0,203200.0,201577.0,1627835.0,1626170.0
33,0.0,0.0,5.0,2.0,1.0,1628374.0,203200.0,201577.0,1627835.0,1626170.0,201152.0,1626167.0,202709.0,202362.0,1626202.0
34,143.75,1.0,-5.0,472.0,0.0,202711.0,201152.0,1626167.0,203506.0,201954.0,1627756.0,1628374.0,201577.0,203200.0,1627739.0
35,105.88235294117648,0.0,5.0,472.0,1.0,1627756.0,1628374.0,201577.0,203200.0,1627739.0,202711.0,201152.0,1626167.0,203506.0,201954.0
36,100.0,1.0,-3.0,13.0,1.0,1626167.0,203506.0,201954.0,202709.0,1627734.0,1628374.0,201577.0,203200.0,1627739.0,1628021.0
37,200.0,0.0,4.0,13.0,0.0,1628374.0,201577.0,203200.0,1627739.0,1628021.0,1626167.0,203506.0,201954.0,202709.0,1627734.0
38,0.0,1.0,-2.0,30.0,0.0,1626167.0,203506.0,201954.0,202709.0,1627734.0,1628374.0,201577.0,203200.0,1627739.0,1628021.0
39,66.66666666666666,0.0,3.0,30.0,1.0,1628374.0,201577.0,203200.0,1627739.0,1628021.0,1626167.0,203506.0,201954.0,202709.0,1627734.0
40,40.0,1.0,-4.0,71.0,1.0,1626167.0,203506.0,201954.0,202709.0,1627734.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0
41,100.0,0.0,4.0,71.0,0.0,201577.0,203200.0,1627739.0,1628021.0,1626171.0,1626167.0,203506.0,201954.0,202709.0,1627734.0
42,0.0,1.0,-4.0,0.0,1.0,1626167.0,203506.0,202709.0,1627734.0,202362.0,201577.0,203200.0,1628021.0,1626171.0,1626170.0
43,0.0,0.0,5.0,0.0,0.0,201577.0,203200.0,1628021.0,1626171.0,1626170.0,1626167.0,203506.0,202709.0,1627734.0,202362.0
44,100.0,1.0,-4.0,246.0,0.0,203506.0,202709.0,1627734.0,202362.0,201152.0,203200.0,1628021.0,1626171.0,1626170.0,1627835.0
45,75.0,0.0,5.0,246.0,1.0,203200.0,1628021.0,1626171.0,1626170.0,1627835.0,203506.0,202709.0,1627734.0,202362.0,201152.0
46,125.0,1.0,-4.0,119.0,1.0,202711.0,201152.0,202709.0,1627734.0,203506.0,1627756.0,1628021.0,1626171.0,1626170.0,1627835.0
47,75.0,0.0,5.0,119.0,0.0,1627756.0,1628021.0,1626171.0,1626170.0,1627835.0,202711.0,201152.0,202709.0,1627734.0,203506.0
48,0.0,1.0,-3.0,17.0,0.0,202711.0,201152.0,202709.0,1627734.0,203506.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0
49,0.0,0.0,4.0,17.0,1.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0,202711.0,201152.0,202709.0,1627734.0,203506.0
50,100.0,1.0,-3.0,15.0,1.0,202711.0,201152.0,202709.0,1627734.0,203506.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0
51,0.0,0.0,4.0,15.0,0.0,1627756.0,1628374.0,1627739.0,203200.0,201577.0,202711.0,201152.0,202709.0,1627734.0,203506.0
52,150.0,1.0,-2.0,45.0,0.0,202711.0,201152.0,202709.0,1627734.0,203506.0,1628374.0,1627739.0,203200.0,201577.0,1628021.0
