,PTS/100,isHome,possession_diff,time,startsBall,offence1,offence2,offence3,offence4,offence5,defence1,defence2,defence3,defence4,defence5
0,70.0,1.0,0.0,261.0,0.0,203109.0,101161.0,203096.0,202340.0,202738.0,2546.0,204001.0,201577.0,201167.0,101181.0
1,80.0,0.0,0.0,261.0,1.0,2546.0,204001.0,201577.0,201167.0,101181.0,203109.0,101161.0,203096.0,202340.0,202738.0
2,100.0,1.0,-1.0,60.0,1.0,203109.0,203096.0,202340.0,202738.0,203482.0,2546.0,204001.0,201577.0,201167.0,204038.0
3,0.0,0.0,1.0,60.0,0.0,2546.0,204001.0,201577.0,201167.0,204038.0,203109.0,203096.0,202340.0,202738.0,203482.0
4,125.0,1.0,0.0,104.0,1.0,203109.0,203096.0,202340.0,202738.0,203482.0,2546.0,204001.0,201577.0,201167.0,101181.0
5,100.0,0.0,1.0,104.0,0.0,2546.0,204001.0,201577.0,201167.0,101181.0,203109.0,203096.0,202340.0,202738.0,203482.0
6,0.0,1.0,0.0,47.0,1.0,203109.0,203096.0,202340.0,203482.0,202323.0,2546.0,204001.0,201167.0,203124.0,204038.0
7,100.0,0.0,0.0,47.0,0.0,2546.0,204001.0,201167.0,203124.0,204038.0,203109.0,203096.0,202340.0,203482.0,202323.0
8,0.0,1.0,0.0,10.0,1.0,203109.0,203096.0,202340.0,203482.0,202323.0,2546.0,201167.0,203124.0,204038.0,202682.0
9,0.0,0.0,1.0,10.0,0.0,2546.0,201167.0,203124.0,204038.0,202682.0,203109.0,203096.0,202340.0,203482.0,202323.0
10,50.0,1.0,0.0,37.0,1.0,203109.0,203482.0,202323.0,203935.0,203092.0,2546.0,201167.0,203124.0,204038.0,202682.0
11,0.0,0.0,1.0,37.0,0.0,2546.0,201167.0,203124.0,204038.0,202682.0,203109.0,203482.0,202323.0,203935.0,203092.0
12,200.0,1.0,0.0,0.0,1.0,203109.0,203482.0,202323.0,203935.0,203092.0,201167.0,203124.0,204038.0,202682.0,202498.0
13,0.0,0.0,1.0,0.0,0.0,201167.0,203124.0,204038.0,202682.0,202498.0,203109.0,203482.0,202323.0,203935.0,203092.0
14,37.5,1.0,1.0,198.0,0.0,203482.0,202323.0,203935.0,203092.0,1626154.0,203124.0,204038.0,202682.0,202498.0,2756.0
15,22.22222222222222,0.0,0.0,198.0,1.0,203124.0,204038.0,202682.0,202498.0,2756.0,203482.0,202323.0,203935.0,203092.0,1626154.0
16,100.0,1.0,1.0,17.0,0.0,203482.0,202323.0,203935.0,1626154.0,201973.0,204038.0,202682.0,202498.0,2756.0,201577.0
17,200.0,0.0,0.0,17.0,1.0,204038.0,202682.0,202498.0,2756.0,201577.0,203482.0,202323.0,203935.0,1626154.0,201973.0
18,133.33333333333331,1.0,1.0,66.0,1.0,203482.0,202323.0,1626154.0,201973.0,202738.0,204038.0,202682.0,202498.0,2756.0,201577.0
19,66.66666666666666,0.0,0.0,66.0,0.0,204038.0,202682.0,202498.0,2756.0,201577.0,203482.0,202323.0,1626154.0,201973.0,202738.0
20,50.0,1.0,1.0,63.0,1.0,202323.0,1626154.0,201973.0,202738.0,101161.0,202682.0,201577.0,201167.0,101181.0,2546.0
21,75.0,0.0,-1.0,63.0,0.0,202682.0,201577.0,201167.0,101181.0,2546.0,202323.0,1626154.0,201973.0,202738.0,101161.0
22,250.0,1.0,1.0,51.0,1.0,202323.0,201973.0,202738.0,101161.0,203109.0,202682.0,201577.0,201167.0,101181.0,2546.0
23,0.0,0.0,0.0,51.0,0.0,202682.0,201577.0,201167.0,101181.0,2546.0,202323.0,201973.0,202738.0,101161.0,203109.0
